City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Muyezerskiy,RU,63.9333,31.65,30.06,92,89,5.61,overcast clouds
128,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,81,75,20.71,broken clouds
129,Januaria,BR,-15.4833,-44.3667,91.81,24,8,7.2,clear sky
130,Ribeira Grande,PT,38.5167,-28.7,66.6,72,40,11.5,scattered clouds
131,Pasni,PK,25.2631,63.471,86.83,63,42,15.37,scattered clouds
132,Broome,US,42.2506,-75.833,60.98,26,0,5.01,clear sky
133,San Andres,CO,12.5847,-81.7006,86.02,70,40,13.8,scattered clouds
134,El Alto,PE,-4.2714,-81.2147,76.66,65,92,14.56,overcast clouds
135,Kavieng,PG,-2.5744,150.7967,81.77,74,87,1.34,overcast clouds
136,Cabo San Lucas,MX,22.8909,-109.9124,85.6,54,40,1.01,scattered clouds
137,Rio Grande,BR,-32.035,-52.0986,69.91,60,14,7.9,few clouds
138,Gavrilov-Yam,RU,57.3018,39.8533,37.24,56,59,4.09,broken clouds
139,Soyo,AO,-6.1349,12.3689,79.21,83,98,7.83,overcast clouds
140,Gitega,BI,-3.5,29.95,61.57,94,96,2.46,light rain
141,Tondano,ID,1.3038,124.9112,69.89,93,98,1.1,overcast clouds
142,Lorengau,PG,-2.0226,147.2712,80.37,79,83,4.09,broken clouds
143,Goderich,CA,43.7501,-81.7165,53.17,46,100,11.7,overcast clouds
144,Sisimiut,GL,66.9395,-53.6735,26.02,47,0,4.63,clear sky
145,Isangel,VU,-19.55,169.2667,77.54,89,100,14.43,overcast clouds
146,Bethel,US,41.3712,-73.414,63.03,37,3,11.99,clear sky
147,Kavali,IN,14.9167,79.9833,83.32,73,14,8.61,few clouds
148,Tuatapere,NZ,-46.1333,167.6833,61.66,60,100,10.25,moderate rain
149,Wanaka,NZ,-44.7,169.15,52.47,89,100,7.34,moderate rain
150,Provideniya,RU,64.3833,-173.3,29.39,90,99,17.13,light snow
151,Flinders,AU,-34.5833,150.8552,55.38,81,49,1.99,scattered clouds
152,Katangli,RU,51.7102,143.2326,29.52,98,100,6.64,light snow
153,Slave Lake,CA,55.2834,-114.769,44.58,65,75,4.61,broken clouds
154,Ahuimanu,US,21.4447,-157.8378,75.36,78,100,5.01,overcast clouds
155,Libreville,GA,0.3925,9.4537,81.41,81,96,8.46,overcast clouds
156,Chaman,PK,30.9236,66.4512,79.5,11,1,3.49,clear sky
157,Ahvaz,IR,31.3203,48.6693,85.95,37,0,4.61,clear sky
158,Mitsamiouli,KM,-11.3847,43.2844,80.51,79,25,10.96,light rain
159,Pierre,US,44.3683,-100.351,43.86,84,100,26.46,overcast clouds
160,Biak,ID,-0.9131,122.8766,76.42,86,99,1.95,overcast clouds
161,Guerrero Negro,MX,27.9769,-114.0611,66.94,60,55,12.21,broken clouds
162,Codrington,AU,-38.2667,141.9667,55.17,88,61,14.14,broken clouds
163,Nikolskoye,RU,59.7035,30.7861,41.81,63,96,5.35,overcast clouds
164,Carnarvon,AU,-24.8667,113.6333,75.69,44,26,13.29,scattered clouds
165,Cidreira,BR,-30.1811,-50.2056,66.69,69,71,10.94,broken clouds
166,Port Elizabeth,ZA,-33.918,25.5701,61.32,81,1,5.99,clear sky
167,Srisailam,IN,16.0833,78.8667,85.64,40,47,5.26,scattered clouds
168,Talnakh,RU,69.4865,88.3972,12.36,97,93,7.34,overcast clouds
169,Torbay,CA,47.6666,-52.7314,42.76,96,100,4.0,light rain
170,Mezen,RU,65.8522,44.24,21.16,93,88,4.32,overcast clouds
171,Chuy,UY,-33.6971,-53.4616,61.84,54,78,5.95,light rain
172,Santa Rosa,PH,14.3122,121.1114,83.1,77,98,7.43,overcast clouds
173,Bambanglipuro,ID,-7.95,110.2833,77.45,87,100,4.97,overcast clouds
174,Kaeo,NZ,-35.1,173.7833,55.33,97,14,5.3,few clouds
175,Ezhou,CN,30.4,114.8333,55.22,84,74,5.64,broken clouds
176,Avarua,CK,-21.2078,-159.775,77.05,88,20,6.91,few clouds
177,Hanyang,CN,32.1371,105.5126,51.98,59,100,4.68,overcast clouds
178,Longyearbyen,SJ,78.2186,15.6401,13.84,57,0,6.91,clear sky
179,Susurluk,TR,39.9136,28.1578,56.84,93,100,7.83,overcast clouds
180,Upernavik,GL,72.7868,-56.1549,20.01,87,100,9.06,light snow
181,Tual,ID,-5.6667,132.75,84.51,72,53,14.23,broken clouds
182,Marsh Harbour,BS,26.5412,-77.0636,70.84,87,100,16.84,overcast clouds
183,Le Vauclin,MQ,14.5452,-60.8388,89.65,55,20,11.5,few clouds
184,Sarkand,KZ,45.41,79.9186,63.86,31,100,6.89,overcast clouds
185,Copperas Cove,US,31.1241,-97.9031,85.3,35,0,9.22,clear sky
186,Chulym,RU,55.0997,80.9572,51.85,75,100,15.79,overcast clouds
187,Mount Isa,AU,-20.7333,139.5,69.57,68,5,4.61,clear sky
188,Vila Velha,BR,-20.3297,-40.2925,80.94,74,4,1.01,clear sky
189,Nicoya,CR,10.1483,-85.452,89.89,52,99,4.43,overcast clouds
190,Cayenne,GF,4.9333,-52.3333,86.04,26,40,19.57,scattered clouds
191,Lensk,RU,60.7253,114.9278,37.47,99,100,6.53,overcast clouds
192,Erdenet,MN,49.0333,104.0833,47.93,34,88,1.72,overcast clouds
193,Poronaysk,RU,49.2167,143.1167,30.47,83,90,3.58,overcast clouds
194,Pochutla,MX,15.7432,-96.4661,88.83,41,34,10.02,scattered clouds
195,Morondava,MG,-20.2833,44.2833,76.59,67,0,9.53,clear sky
196,Port Lincoln,AU,-34.7333,135.8667,58.71,80,4,8.21,clear sky
197,Sao Filipe,CV,14.8961,-24.4956,73.8,71,97,7.2,overcast clouds
198,Kununurra,AU,-15.7667,128.7333,78.78,94,75,4.61,broken clouds
199,Port Alfred,ZA,-33.5906,26.891,60.19,80,1,5.01,clear sky
200,Shimoda,JP,34.6667,138.95,52.11,66,99,5.5,overcast clouds
