City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
462,Acari,PE,79.63,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
478,Lufilufi,WS,82.22,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
480,Belmonte,BR,80.13,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
483,Labuan,MY,81.55,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
493,Mecca,SA,87.94,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
495,Brasilia De Minas,BR,87.84,clear sky,-16.2064,-44.4333,Hotel Neris
503,Kiunga,PG,75.54,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
505,Awjilah,LY,83.66,clear sky,29.1081,21.2869,المنزل
506,Digapahandi,IN,83.1,scattered clouds,19.3667,84.5833,Tiffin Hotel
513,Puerto Leguizamo,CO,75.65,overcast clouds,-0.1934,-74.7819,la casona de juancho
514,Pak Phanang,TH,79.3,broken clouds,8.3511,100.202,Green Park Inn Hotel
516,Cravo Norte,CO,75.72,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
526,Laguna,US,77.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
528,Kudahuvadhoo,MV,85.77,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
529,Jesup,US,84.13,scattered clouds,31.6074,-81.8854,Western Motel
531,Sibolga,ID,77.67,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
533,Saharsa,IN,78.24,broken clouds,25.8833,86.6,SPOT ON 61627 Golden Plaza SPOT
535,Alofi,NU,80.31,moderate rain,-19.0595,-169.9187,Taloa Heights
540,Kahului,US,75.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
542,Miramar,US,82.42,clear sky,25.9873,-80.2323,Stadium Hotel
545,Long Xuyen,VN,76.95,overcast clouds,10.3833,105.4167,Nhà nghĩ Vy Linh
547,Sur,OM,88.79,broken clouds,22.5667,59.5289,Sur Plaza Hotel
549,Kovur,IN,84.13,clear sky,14.4833,79.9833,Hotel Yesh Park
553,Natchez,US,83.64,broken clouds,31.5604,-91.4032,Hampton Inn & Suites Natchez
554,Rajbiraj,NP,76.5,overcast clouds,26.5333,86.75,Kolahatta
558,Mineros,BO,88.57,few clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
561,Kourou,GF,86.05,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
567,Lazaro Cardenas,MX,83.62,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
568,Doume,CM,75.16,light rain,4.2333,13.45,Hotel Universel
572,Gigmoto,PH,80.47,broken clouds,13.7796,124.39,Cj's Travellers Inn
580,Mana,GF,83.62,scattered clouds,5.6592,-53.7767,LE SAMANA
581,Labuhan,ID,77.14,overcast clouds,-6.8844,112.2051,DoubleFAG
582,Cockburn Town,TC,76.71,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
586,San Cristobal,VE,84.38,overcast clouds,7.7669,-72.225,Pirineos
587,Vigia,BR,80.08,overcast clouds,-0.8583,-48.1417,Hotel Bom Jesus
590,Davila,PH,80.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
594,Najran,SA,83.05,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
597,Nisia Floresta,BR,86.38,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
602,Bull Savanna,JM,82.47,clear sky,17.8868,-77.5902,Big Red's
604,Hoi An,VN,80.56,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
607,Emiliano Zapata,MX,86.61,clear sky,18.8333,-99.1833,Parador De Manolos Hotel
609,Pucallpa,PE,89.64,broken clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
610,Coahuayana,MX,88.36,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
611,Manggar,ID,80.04,scattered clouds,-2.8833,108.2667,Guest Hotel
612,Dhidhdhoo,MV,85.14,overcast clouds,6.8833,73.1,Dhidhoo beach
622,Road Town,VG,78.89,light rain,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
623,Katherine,AU,82.72,overcast clouds,-14.4667,132.2667,Pine Tree Motel
627,Bireun,ID,80.89,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
629,Gizo,SB,82.17,scattered clouds,-8.103,156.8419,Imagination Island
633,Rosarito,MX,76.62,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
634,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
635,Maningrida,AU,75.38,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
641,Diplo,PK,85.24,clear sky,24.4667,69.584,Mukhi Ahmed Ali Residency
647,Oussouye,SN,89.78,scattered clouds,12.485,-16.5469,Auberge du Routard
648,Doctor Arroyo,MX,79.3,clear sky,23.6667,-100.1833,Hotel Plaza
651,Sokoni,TZ,81.63,light rain,-6.4333,39.55,Ujamaa Beach Resort
652,Hirara,JP,75.54,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
654,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
659,Puerto Baquerizo Moreno,EC,81.59,few clouds,-0.9,-89.6,Hotel los Algarrobos
661,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
663,Bima,ID,76.19,overcast clouds,-8.4667,118.7167,Lambitu Hotel
667,Pailon,BO,83.88,clear sky,-17.65,-62.75,Alojamiento pailon
668,La Palma,US,83.66,haze,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
672,Neiafu,TO,75.88,thunderstorm,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
674,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
678,Dehloran,IR,82.4,clear sky,32.6941,47.2679,کافه گیم استورم
687,Vanimo,PG,76.86,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
688,Tawau,MY,75.33,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
