City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Launceston,AU,2022-04-26 19:22:07,-41.45,147.1667,51.44,90,40,8.05
116,Krapina,HR,2022-04-26 19:26:15,46.1608,15.8789,57.29,93,78,1.23
117,Bengkulu,ID,2022-04-26 19:26:15,-3.8004,102.2655,77.99,88,59,4.23
118,Thompson,CA,2022-04-26 19:26:16,55.7435,-97.8558,35.76,25,0,4.61
119,Norsup,VU,2022-04-26 19:26:17,-16.0667,167.3833,78.58,77,99,14.27
120,Port Macquarie,AU,2022-04-26 19:26:17,-31.4333,152.9167,60.89,88,100,3.22
121,Floro,NO,2022-04-26 19:26:18,61.5996,5.0328,45.23,52,20,16.11
122,Tocopilla,CL,2022-04-26 19:26:19,-22.092,-70.1979,69.13,69,88,8.3
123,Kahului,US,2022-04-26 19:26:11,20.8947,-156.47,78.82,70,40,14.97
124,Esperance,AU,2022-04-26 19:26:20,-33.8667,121.9,58.84,65,1,8.34
125,Bethel,US,2022-04-26 19:26:20,41.3712,-73.414,56.62,91,100,0.0
126,Saint George,US,2022-04-26 19:22:56,37.1041,-113.5841,83.43,8,0,5.75
127,Saldanha,ZA,2022-04-26 19:26:21,-33.0117,17.9442,57.25,79,0,17.02
128,Ribeira Grande,PT,2022-04-26 19:26:22,38.5167,-28.7,63.0,88,40,14.97
129,Huarmey,PE,2022-04-26 19:26:22,-10.0681,-78.1522,73.63,75,31,12.41
130,Rawson,AR,2022-04-26 19:26:23,-43.3002,-65.1023,63.43,28,100,21.81
131,Vaini,TO,2022-04-26 19:26:24,-21.2,-175.2,73.56,78,20,9.22
132,Iberia,US,2022-04-26 19:26:25,29.9502,-91.7507,78.87,53,0,16.11
133,Rajaldesar,IN,2022-04-26 19:26:25,28.0333,74.4667,87.49,10,0,5.5
134,Carutapera,BR,2022-04-26 19:26:27,-1.195,-46.02,82.29,78,100,7.9
135,Coahuayana,MX,2022-04-26 19:26:28,18.7333,-103.6833,89.78,39,0,8.5
136,Yarada,IN,2022-04-26 19:26:29,17.65,83.2667,84.52,84,20,4.61
137,Husavik,IS,2022-04-26 19:26:30,66.0449,-17.3389,39.49,94,100,0.72
138,Kuching,MY,2022-04-26 19:26:30,1.55,110.3333,75.42,94,40,1.99
139,Sangar,RU,2022-04-26 19:27:31,63.9242,127.4739,0.32,98,37,2.19
140,Forio,IT,2022-04-26 19:27:32,40.7342,13.8646,62.42,65,0,3.0
141,Kodiak,US,2022-04-26 19:27:33,57.79,-152.4072,45.91,53,100,12.66
142,Sunrise Manor,US,2022-04-26 19:27:33,36.2111,-115.0731,88.81,8,20,9.22
143,Mar Del Plata,AR,2022-04-26 19:27:34,-38.0023,-57.5575,71.62,89,75,16.11
144,Moron,AR,2022-04-26 19:27:34,-34.6534,-58.6198,76.69,91,100,8.84
145,Vila Velha,BR,2022-04-26 19:23:20,-20.3297,-40.2925,84.15,83,20,10.36
146,Takoradi,GH,2022-04-26 19:27:35,4.8845,-1.7554,81.3,84,65,9.37
147,Hobart,AU,2022-04-26 19:27:36,-42.8794,147.3294,49.05,94,100,6.91
148,Acton,GB,2022-04-26 19:27:37,51.509,-0.2762,55.47,53,0,11.5
149,Edea,CM,2022-04-26 19:27:37,3.8,10.1333,75.7,95,100,2.42
150,Marquette,US,2022-04-26 19:27:38,46.5333,-87.6335,24.82,86,100,12.66
151,Dikson,RU,2022-04-26 19:27:39,73.5069,80.5464,3.85,98,97,9.08
152,Haines Junction,CA,2022-04-26 19:27:39,60.7522,-137.5108,48.15,49,100,11.5
153,Nanga Eboko,CM,2022-04-26 19:27:40,4.6833,12.3667,74.89,80,99,3.36
154,Ponta Do Sol,PT,2022-04-26 19:27:40,32.6667,-17.1,67.01,72,43,5.5
155,Beloha,MG,2022-04-26 19:27:41,-25.1667,45.05,71.13,87,100,14.34
156,Fort Nelson,CA,2022-04-26 19:24:00,58.8053,-122.7002,38.79,87,100,6.91
157,Synya,RU,2022-04-26 19:27:42,65.3718,58.0387,38.26,93,100,11.68
158,Nalut,LY,2022-04-26 19:27:43,30.3333,10.85,79.59,15,89,23.09
159,Necocli,CO,2022-04-26 19:27:43,8.4234,-76.786,84.29,73,100,3.18
160,Half Moon Bay,US,2022-04-26 19:27:44,37.4636,-122.4286,69.89,64,0,28.77
161,Jumla,NP,2022-04-26 19:27:44,29.2747,82.1838,47.05,67,0,4.97
162,Dingle,PH,2022-04-26 19:27:45,10.9995,122.6711,77.65,89,100,6.46
163,Nabire,ID,2022-04-26 19:27:46,-3.3667,135.4833,77.22,89,100,3.76
164,Banfora,BF,2022-04-26 19:27:46,10.6333,-4.7667,93.6,16,41,5.68
165,Atuona,PF,2022-04-26 19:27:47,-9.8,-139.0333,78.93,75,24,23.82
166,Kalemie,CD,2022-04-26 19:27:48,-5.9475,29.1947,71.71,86,100,1.28
167,Aykhal,RU,2022-04-26 19:27:49,66.0,111.5,9.32,99,77,4.03
168,Namwala,ZM,2022-04-26 19:27:49,-15.7504,26.4384,67.84,76,39,3.36
169,Saint-Junien,FR,2022-04-26 19:27:50,45.8833,0.9,60.85,63,55,7.23
170,Ayan,RU,2022-04-26 19:27:51,56.45,138.1667,25.3,82,100,5.3
171,Catole Do Rocha,BR,2022-04-26 19:24:36,-6.3439,-37.7467,88.88,39,63,9.26
172,Moindou,NC,2022-04-26 19:27:51,-21.6924,165.677,69.53,69,95,5.59
173,Amga,RU,2022-04-26 19:27:52,60.8953,131.9608,19.89,97,100,1.32
174,Faya,SA,2022-04-26 19:27:53,18.3851,42.4509,57.31,38,3,3.89
175,San Angelo,US,2022-04-26 19:22:54,31.4638,-100.437,72.95,24,100,12.66
176,Aneho,TG,2022-04-26 19:27:54,6.2333,1.6,82.6,80,41,8.55
177,Te Anau,NZ,2022-04-26 19:27:55,-45.4167,167.7167,44.73,90,42,0.16
178,Nurota,UZ,2022-04-26 19:27:55,40.5614,65.6886,65.1,44,98,6.89
179,Buarcos,PT,2022-04-26 19:27:56,40.166,-8.8768,61.56,92,0,5.68
180,Penzance,GB,2022-04-26 19:27:56,50.1186,-5.5371,52.48,71,13,18.37
181,Castro,BR,2022-04-26 19:27:57,-24.7911,-50.0119,77.34,64,26,4.99
182,Kidal,ML,2022-04-26 19:27:58,18.4411,1.4078,86.54,16,0,10.42
183,Pierre,US,2022-04-26 19:28:21,44.3683,-100.351,56.86,32,0,21.0
184,Havre-Saint-Pierre,CA,2022-04-26 19:28:59,50.2334,-63.5986,39.56,93,100,4.61
185,Winnemucca,US,2022-04-26 19:28:59,40.973,-117.7357,66.25,20,0,12.66
186,Nome,US,2022-04-26 19:29:00,64.5011,-165.4064,36.16,92,0,0.0
187,Boden,SE,2022-04-26 19:29:01,65.8252,21.6886,32.0,79,75,4.32
188,Agnibilekrou,CI,2022-04-26 19:29:01,7.1344,-3.2047,74.89,88,85,4.74
189,Ostrovnoy,RU,2022-04-26 19:29:02,68.0531,39.5131,17.6,69,3,16.28
190,Matara,LK,2022-04-26 19:29:02,5.9485,80.5353,78.96,86,83,2.26
191,Saint-Georges,GD,2022-04-26 19:29:03,12.0564,-61.7485,82.08,83,75,17.27
192,Gat,IL,2022-04-26 19:29:04,31.61,34.7642,78.4,56,71,6.58
193,Codrington,AU,2022-04-26 19:29:05,-38.2667,141.9667,59.74,78,100,8.55
194,Sept-Iles,CA,2022-04-26 19:29:06,50.2001,-66.3821,36.12,95,100,5.75
195,Hambantota,LK,2022-04-26 19:29:06,6.1241,81.1185,81.32,78,83,1.14
196,Vao,NC,2022-04-26 19:29:07,-22.6667,167.4833,74.16,60,100,18.23
197,Buraydah,SA,2022-04-26 19:29:07,26.326,43.975,81.05,38,0,15.86
198,Saskylakh,RU,2022-04-26 19:29:08,71.9167,114.0833,-3.46,98,98,3.33
199,Yulara,AU,2022-04-26 19:29:09,-25.2406,130.9889,57.04,51,100,4.61
200,Miles City,US,2022-04-26 19:29:10,46.4083,-105.8406,59.97,44,0,13.8
201,Touros,BR,2022-04-26 19:26:51,-5.1989,-35.4608,83.21,71,13,14.94
202,Igarka,RU,2022-04-26 19:29:11,67.4667,86.5833,3.31,99,76,6.46
203,Coruripe,BR,2022-04-26 19:26:51,-10.1256,-36.1756,81.77,64,0,10.04
204,Papara,BR,2022-04-26 19:29:12,-3.9839,-38.7273,82.8,82,34,5.01
205,Fort-Shevchenko,KZ,2022-04-26 19:29:12,44.5086,50.263,68.47,38,21,9.93
206,Asau,RO,2022-04-26 19:29:13,46.4333,26.4,52.72,85,33,2.93
207,Havelock,US,2022-04-26 19:29:14,34.8791,-76.9013,86.02,74,20,12.66
208,Grimshaw,CA,2022-04-26 19:29:15,56.1834,-117.6027,49.62,53,100,3.44
209,Rio Tinto,PT,2022-04-26 19:29:16,41.1826,-8.5581,59.92,83,40,8.05
210,Grand Gaube,MU,2022-04-26 19:29:16,-20.0064,57.6608,76.37,76,9,4.0
211,Meulaboh,ID,2022-04-26 19:29:17,4.1363,96.1285,77.09,81,100,4.14
212,Hami,CN,2022-04-26 19:29:17,42.8,93.45,55.56,54,100,7.74
213,Flin Flon,CA,2022-04-26 19:29:18,54.7682,-101.865,33.64,37,0,11.5
214,Kassala,SD,2022-04-26 19:29:19,15.451,36.4,94.93,11,98,4.5
215,Puksoozero,RU,2022-04-26 19:29:20,62.5903,40.6066,35.55,94,98,4.88
216,Victoria Point,AU,2022-04-26 19:29:20,-27.5833,153.3,65.91,95,99,1.01
217,Fairbanks,US,2022-04-26 19:29:21,64.8378,-147.7164,44.94,61,20,8.05
218,La Mata,PA,2022-04-26 19:29:21,8.0833,-80.8833,88.88,58,98,2.93
219,Gwalior,IN,2022-04-26 19:29:22,26.2236,78.1792,89.94,12,0,4.63
220,Dandong,CN,2022-04-26 19:29:22,40.1292,124.3947,47.32,41,0,11.27
221,Krasnoselkup,RU,2022-04-26 19:29:23,65.7,82.4667,14.65,90,87,8.99
222,Sarkand,KZ,2022-04-26 19:29:24,45.41,79.9186,47.71,42,61,3.24
223,Pacific Grove,US,2022-04-26 19:27:11,36.6177,-121.9166,68.54,72,40,14.97
224,Soke,ML,2022-04-26 19:29:25,13.598,-5.9386,97.41,10,0,9.42
225,Whitehorse,CA,2022-04-26 19:29:25,60.7161,-135.0538,43.11,71,75,10.36
226,Paamiut,GL,2022-04-26 19:30:26,61.994,-49.6678,34.3,97,100,22.82
227,Kaitangata,NZ,2022-04-26 19:30:26,-46.2817,169.8464,49.44,93,83,6.76
228,Ilulissat,GL,2022-04-26 19:30:27,69.2167,-51.1,35.62,80,100,6.91
229,College,US,2022-04-26 19:30:28,64.8569,-147.8028,44.92,61,75,8.05
230,Kushmurun,KZ,2022-04-26 19:30:28,52.4503,64.6311,53.17,64,23,6.02
231,Khorixas,NA,2022-04-26 19:30:29,-20.3667,14.9667,76.62,27,4,2.71
232,Portland,US,2022-04-26 19:27:32,45.5234,-122.6762,54.95,72,75,12.66
233,Koch Bihar,IN,2022-04-26 19:30:30,26.3167,89.4333,76.87,72,3,8.5
234,Tazmalt,DZ,2022-04-26 19:30:30,36.3868,4.3989,62.26,82,100,6.53
235,Kupang,ID,2022-04-26 19:29:12,-10.1667,123.5833,75.6,82,100,4.76
236,Bloomfield,US,2022-04-26 19:26:40,40.8068,-74.1854,66.06,78,100,6.91
237,Northam,GB,2022-04-26 19:30:32,51.0333,-4.2167,55.62,54,24,6.85
238,Suntar,RU,2022-04-26 19:30:32,62.1444,117.6319,22.17,99,72,1.88
